name,type,period_start,period_end,commits,commit_ratio,added_lines,added_lines_ratio,deleted_lines,deleted_lines_ratio,add_minus_del,add_minus_del_ratio,contributors,contributor_ratio,files,files_ratio
https://github.com/0100101001010000/RustTI,overall,2025-08-04T21:03:48+00:00,2026-02-21T17:10:29.018233+00:00,101,75.248,10548,85.429,9341,78.407,1207,139.768,4,50.0,38,94.737
https://github.com/7474/SRC,overall,2025-08-10T06:28:18+00:00,2026-02-21T23:16:10.332580+00:00,170,91.176,86735,98.403,35528,92.237,51207,102.681,5,40.0,414,98.309
https://github.com/acooks/jittertrap,overall,2025-07-26T03:44:51+00:00,2026-02-23T00:55:17.860230+00:00,118,81.356,79041,81.906,13588,19.988,65453,94.76,2,100.0,347,93.372
https://github.com/adamritter/pageql,overall,2025-04-17T16:39:49+00:00,2026-02-23T15:33:00.885931+00:00,978,75.665,41005,64.69,16893,82.354,24112,52.314,2,50.0,184,88.043
https://github.com/Aider-AI/aider,overall,2025-01-02T21:26:14+00:00,2026-02-21T20:15:21.447253+00:00,2984,94.336,87197,95.123,55636,98.251,31561,89.607,109,12.844,388,92.784
https://github.com/Airbolt-AI/airbolt,overall,2025-06-19T16:59:27+00:00,2026-02-20T23:04:19.079090+00:00,99,80.808,97233,96.848,111550,98.539,-14317,110.023,3,100.0,549,100.0
https://github.com/airbytehq/terraform-provider-airbyte,overall,2025-12-10T20:07:49+00:00,2026-02-21T02:38:54.501958+00:00,70,77.143,136844,6.292,1138916,8.837,-1002072,9.184,4,50.0,13689,5.216
https://github.com/alanagoyal/alanagoyal,overall,2025-11-25T02:55:37+00:00,2026-02-20T22:47:50.640118+00:00,443,83.747,51871,95.587,16984,94.0,34887,96.36,3,66.667,359,97.772
https://github.com/aldrin-labs/abyssbook,overall,2025-04-03T05:18:18+00:00,2026-02-21T08:23:46.210604+00:00,91,94.505,36288,94.858,3787,95.59,32501,94.772,4,75.0,169,98.817
https://github.com/alexanderthclark/FreeRide,overall,2025-05-22T16:35:54+00:00,2026-02-21T01:59:14.708264+00:00,126,82.54,21699,79.658,21536,33.089,163,6232.515,1,100.0,82,82.927
https://github.com/All-Hands-AI/trajectory-visualizer,overall,2025-03-07T10:04:59+00:00,2026-02-20T21:46:16.911817+00:00,105,94.286,13883,98.84,37685,99.79,-23802,100.345,4,50.0,89,100.0
https://github.com/allterco/shelly-script-examples,overall,2026-02-01T11:03:29+00:00,2026-02-20T22:43:50.897138+00:00,72,95.833,13417,97.257,3058,100.0,10359,96.448,4,50.0,250,99.6
https://github.com/Alphonsus411/pCobra,overall,2025-06-08T06:57:08+00:00,2026-02-22T07:09:49.759000+00:00,1343,98.362,107296,91.397,243841,11.438,-136545,-51.393,2,50.0,4459,84.705
https://github.com/amranu/cli-agent,overall,2025-06-21T00:18:22+00:00,2026-02-21T18:07:48.488369+00:00,300,92.0,67662,91.956,29540,92.153,38122,91.803,2,50.0,228,92.982
https://github.com/annict/annict,overall,2025-07-23T16:01:49+00:00,2026-02-22T05:01:26.483534+00:00,244,77.049,182435,18.587,47758,60.752,134677,3.635,7,14.286,3455,14.964
https://github.com/arjunrajlaboratory/NimbusImage,overall,2025-12-29T12:17:39+00:00,2026-02-21T19:26:29.250850+00:00,126,81.746,23493,94.747,4747,89.867,18746,95.983,3,66.667,119,95.798
https://github.com/arklab/ark.tools,overall,2025-11-15T16:45:28+00:00,2026-02-21T19:56:40.460646+00:00,407,83.292,389904,76.694,324828,89.977,65076,10.389,4,50.0,1501,92.805
https://github.com/asynkron/protoactor-dotnet,overall,2025-08-02T12:16:20+00:00,2026-02-21T21:55:18.868353+00:00,209,89.952,21646,95.62,15658,97.995,5988,89.412,6,16.667,1271,99.135
